Name,Start Time,End Time,Duration,Venue,Voter: Callum,Voter: Steven,Total Votes
Riki Lindhome: Dead Inside,17:00,18:00,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Rob Auton: The Eyes Open and Shut Show,14:15,15:15,1:00,"Upstairs, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",,X,1
Selena Mersey: Madonna/Whore,18:40,19:40,1:00,"Iron Belly, Underbelly, Cowgate, 66 Cowgate, EH1 1JX",,X,1
Sh!t-faced Shakespeare®: Much Ado About Nothing,21:00,22:10,1:10,"Pentland, Pleasance at EICC, 150 Morrison Street, EH3 8EE",X,,1
Sh!t-faced Shakespeare®: Much Ado About Nothing,22:00,23:10,1:10,"Pentland, Pleasance at EICC, 150 Morrison Street, EH3 8EE",,X,1
Shamilton! The Improvised Hip-Hop Musical,18:20,19:20,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",X,,1
Showstopper! The Improvised Musical,17:30,18:40,1:10,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Siblings and Family Friends,23:30,01:15,1:45,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",X,X,2
Six Chick Flicks...,21:30,22:30,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",,X,1
Skank Sinatra,22:40,23:40,1:00,"Studio Four, Assembly George Square Studios, George Square, EH8 9LH",,X,1
Spy Movie: The Play!,12:00,12:50,0:50,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",,X,1
Stand-Up Science,17:15,18:15,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",X,X,2
Stuart McPherson: HORSE,19:10,20:10,1:00,"Monkey Barrel 2, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",X,,1
Sue Perkins: A Piece of Work in Progress,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Séayoncé: She Must Be Hung!,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",X,X,2
The AI Ate My Homework!,12:20,13:20,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",X,X,2
The Big Show: Monkey Barrel Comedy's Fringe Showcase!,20:30,21:50,1:20,"Hive 1, Monkey Barrel Comedy (The Hive), 15-17 Niddry St, EH1 1LG",X,X,2
The Big Show: Monkey Barrel Comedy's Fringe Showcase!,23:20,00:40,1:20,"Monkey Barrel 3, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",,X,1
The Electric 80s Show,19:30,22:00,2:30,"The Liquid Room, The Liquid Room, 9c Victoria Street, EH1 2HE",,X,1
The Kaye Hole Hosted by Reuben Kaye,23:45,01:15,1:30,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",X,X,2
The Late Nite PowerPoint Comedy Showcase,22:05,23:05,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",X,X,2
The Magic of Terry Pratchett,17:10,18:10,1:00,"Studio Two, Assembly George Square Studios, George Square, EH8 9LH",,X,1
The Umbilical Brothers: The Distraction,18:35,19:35,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",X,X,2
Thinking Drinkers: The Booze-ical,18:10,19:10,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,X,2
Tim Murray Is Witches,21:20,22:20,1:00,"The Dairy Room, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,X,2
Trainspotting Live,20:45,22:05,1:20,"Cromdale Tunnel, Pleasance at EICC, 150 Morrison Street, EH3 8EE",X,,1
Troy Hawke – The Greeters Guild!,19:30,21:20,1:50,"Auditorium, Edinburgh Playhouse, 18-22 Greenside Pl, EH1 3AA",X,X,2
Viv Ford: New Kids On The Blockchain,20:00,21:00,1:00,"Just the Attic, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",X,X,2
Wankernomics: As Per My Last Email,18:00,19:00,1:00,"Pleasance One, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Wild West Rodeo,01:00,02:00,1:00,"Just the Spare Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",X,X,2
