"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Thu 22/08,"ITVX Presents: Edinburgh Fringe",,"9 mins",10.00,22:30,00:00,1:30,"Grand Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Fri 23/08,"Disabled Cants",," ",5.00,17:30,18:30,1:00,"Garden Room, Laughing Horse @ Bar 50, 50 Blackfriars St, EH1 1NE",
Fri 23/08,"Troy Hawke – The Greeters Guild!",,"12 mins",24.50,19:30,21:20,1:50,"Auditorium, Edinburgh Playhouse, 18-22 Greenside Pl, EH1 3AA",
Sat 24/08,"Beat the Comic – Quiz Show",," ",5.00,18:45,19:45,1:00,"Las Vegas, Laughing Horse @ City Cafe, 19 Blair Street, EH1 1QR",
Sat 24/08,"100% C*ntinental",,"21 mins",2.50,20:30,21:30,1:00,"Basement, Laughing Horse @ Home Bar, 69 Home St, EH3 9JP",
Sun 25/08,"Séayoncé: She Must Be Hung!",," ",15.50,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Sun 25/08,"Laser Kiwi: Rise of the Olive",,"8 mins",16.00,20:05,21:05,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Sun 25/08,"Sh!t-faced Shakespeare®: Much Ado About Nothing",,"22 mins",17.00,22:00,23:10,1:10,"Pentland, Pleasance at EICC, 150 Morrison Street, EH3 8EE",
Mon 26/08,"Mark Thomas: Gaffa Tapes",," ",12.00,13:15,14:15,1:00,"Stand 1, The Stand Comedy Club, 5 York Place, EH1 3EB",
Mon 26/08,"Holly Stars: Justice For Holly",50,"21 mins",15.00,18:30,19:30,1:00,"Underground, Assembly George Square Studios, George Square, EH8 9LH",
Mon 26/08,"Aidan Greene: Stop! Stammer Time!",,"4 mins",10.50,20:45,21:45,1:00,"Dexter, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
